'FS 76' 'SF 56' 1.0
'FS 76' 'SF 44' 1.0
'FS 76' 'SF 1' 1.0
'FS 76' 'SF 47' 1.0
'FS 76' 'SF 4' 1.0
'FS 76' 'SF 92' 1.0
'FS 76' 'SF 13' 1.0
'FS 76' 'SF 11' 1.0
'FS 76' 'SF 10' 1.0
'FS 76' 'SF 38' 1.0
'FS 76' 'SF 59' 1.0
'FS 76' 'SF 78' 1.0
'FS 76' 'SF 77' 1.0
'FS 76' 'SF 82' 1.0
'FS 75' 'SF 63' 1.0
'FS 75' 'SF 46' 1.0
'FS 75' 'SF 68' 1.0
'FS 75' 'SF 7' 1.0
'FS 75' 'SF 4' 1.0
'FS 75' 'SF 9' 1.0
'FS 75' 'SF 8' 1.0
'FS 75' 'SF 90' 1.0
'FS 75' 'SF 16' 1.0
'FS 75' 'SF 65' 1.0
'FS 75' 'SF 53' 1.0
'FS 75' 'SF 76' 1.0
'FS 75' 'SF 55' 1.0
'FS 75' 'SF 54' 1.0
'FS 75' 'SF 59' 1.0
'FS 75' 'SF 32' 1.0
'FS 75' 'SF 35' 1.0
'FS 75' 'SF 34' 1.0
'FS 75' 'SF 78' 1.0
'FS 75' 'SF 88' 1.0
'FS 75' 'SF 50' 1.0
'FS 75' 'SF 82' 1.0
'FS 75' 'SF 83' 1.0
'FS 75' 'SF 87' 1.0
'FS 74' 'SF 66' 1.0
'FS 74' 'SF 49' 1.0
'FS 74' 'SF 44' 1.0
'FS 74' 'SF 40' 1.0
'FS 74' 'SF 96' 1.0
'FS 74' 'SF 93' 1.0
'FS 74' 'SF 91' 1.0
'FS 74' 'SF 10' 1.0
'FS 74' 'SF 19' 1.0
'FS 74' 'SF 77' 1.0
'FS 74' 'SF 76' 1.0
'FS 74' 'SF 70' 1.0
'FS 74' 'SF 72' 1.0
'FS 74' 'SF 31' 1.0
'FS 74' 'SF 79' 1.0
'FS 74' 'SF 78' 1.0
'FS 74' 'SF 88' 1.0
'FS 74' 'SF 80' 1.0
'FS 74' 'SF 81' 1.0
'FS 74' 'SF 82' 1.0
'FS 74' 'SF 87' 1.0
'FS 73' 'SF 49' 1.0
'FS 73' 'SF 40' 1.0
'FS 73' 'SF 2' 1.0
'FS 73' 'SF 7' 1.0
'FS 73' 'SF 8' 1.0
'FS 73' 'SF 96' 1.0
'FS 73' 'SF 93' 1.0
'FS 73' 'SF 92' 1.0
'FS 73' 'SF 91' 1.0
'FS 73' 'SF 90' 1.0
'FS 73' 'SF 16' 1.0
'FS 73' 'SF 10' 1.0
'FS 73' 'SF 19' 1.0
'FS 73' 'SF 74' 1.0
'FS 73' 'SF 71' 1.0
'FS 73' 'SF 70' 1.0
'FS 73' 'SF 55' 1.0
'FS 73' 'SF 35' 1.0
'FS 73' 'SF 36' 1.0
'FS 73' 'SF 80' 1.0
'FS 73' 'SF 81' 1.0
'FS 73' 'SF 84' 1.0
'FS 72' 'SF 44' 1.0
'FS 72' 'SF 61' 1.0
'FS 72' 'SF 59' 1.0
'FS 72' 'SF 69' 1.0
'FS 72' 'SF 7' 1.0
'FS 72' 'SF 96' 1.0
'FS 72' 'SF 52' 1.0
'FS 72' 'SF 72' 1.0
'FS 72' 'SF 35' 1.0
'FS 72' 'SF 36' 1.0
'FS 72' 'SF 38' 1.0
'FS 72' 'SF 88' 1.0
'FS 72' 'SF 81' 1.0
'FS 71' 'SF 73' 1.0
'FS 71' 'SF 49' 1.0
'FS 71' 'SF 56' 1.0
'FS 71' 'SF 2' 1.0
'FS 71' 'SF 68' 1.0
'FS 71' 'SF 96' 1.0
'FS 71' 'SF 11' 1.0
'FS 71' 'SF 53' 1.0
'FS 71' 'SF 76' 1.0
'FS 71' 'SF 34' 1.0
'FS 71' 'SF 80' 1.0
'FS 71' 'SF 83' 1.0
'FS 70' 'SF 73' 1.0
'FS 70' 'SF 64' 1.0
'FS 70' 'SF 62' 1.0
'FS 70' 'SF 63' 1.0
'FS 70' 'SF 45' 1.0
'FS 70' 'SF 41' 1.0
'FS 70' 'SF 4' 1.0
'FS 70' 'SF 96' 1.0
'FS 70' 'SF 92' 1.0
'FS 70' 'SF 16' 1.0
'FS 70' 'SF 18' 1.0
'FS 70' 'SF 53' 1.0
'FS 70' 'SF 74' 1.0
'FS 70' 'SF 71' 1.0
'FS 70' 'SF 31' 1.0
'FS 70' 'SF 33' 1.0
'FS 70' 'SF 34' 1.0
'FS 70' 'SF 65' 1.0
'FS 70' 'SF 80' 1.0
'SF 17' 'FS 51' 1.0
'SF 17' 'FS 53' 1.0
'SF 17' 'FS 59' 1.0
'SF 17' 'FS 38' 1.0
'SF 17' 'FS 33' 1.0
'SF 17' 'FS 16' 1.0
'SF 17' 'FS 36' 1.0
'SF 17' 'FS 68' 1.0
'SF 17' 'FS 8' 1.0
'SF 17' 'FS 32' 1.0
'SF 17' 'FS 42' 1.0
'SF 17' 'FS 43' 1.0
'SF 17' 'FS 47' 1.0
'SF 17' 'FS 62' 1.0
'SF 17' 'FS 49' 1.0
